id,name,synonyms,cellosaurus_accession,SANGAR_ID,COSMIC_ID,BROAD_ID,CCLE_ID,tissue,disease_id
1,786-0,786-0; 786O; 786-0; 786.O; 786-O RCC; RCC 786-O; RCC_7860; RCC 7860; 7860; 786-0WT,CVCL_1051,SIDM00125,905947,ACH-000649,786O_KIDNEY,kidney,C9385
2,A2058,A2058; A 2058; A-2058,CVCL_1059,SIDM00797,906792,ACH-000788,A2058_SKIN,skin,C3802
3,A2780,A2780; A-2780; 2780; A2780S,CVCL_0134,SIDM00210,906804,ACH-000657,A2780_OVARY,ovary,C7979
4,A375,A375; A 375; A375; A375-MEL; A375-mel; A375mel,CVCL_0132,SIDM00795,906793,ACH-000219,A375_SKIN,skin,C3802
5,A427,A427; A427,CVCL_1055,SIDM00810,910851,ACH-000757,A427_LUNG,lung,C3512
6,A498,A498; A498,CVCL_1056,SIDM00124,905948,ACH-000555,A498_KIDNEY,kidney,C9385
7,A549,A549; A 549; A549; NCI-A549; A549/ATCC; A549 ATCC; hA549,CVCL_0023,SIDM00903,905949,ACH-000681,A549_LUNG,lung,C3512
8,ACHN,ACHN; ACHN,CVCL_1067,SIDM00123,905950,ACH-000046,ACHN_KIDNEY,kidney,C6975
9,BT-549,BT-549; BT549; BT 549; BT.549,CVCL_1092,NA,NA,NA,NA,breast,C4194
10,CAKI-1,CAKI-1; CAKI-1; CaKi-1; caki-1; CAKI.1; CAKI1; Caki1,CVCL_0234,SIDM00941,905963,ACH-000433,CAKI1_KIDNEY,kidney,C4033
11,CAOV3,CAOV3; CaOv-3; CaOV-3; CAOV-3; CAOV3; CaOV3; CaOv3; Caov3; CA-OV-3,CVCL_0201,SIDM00919,906825,ACH-000713,CAOV3_OVARY,ovary,C105555
12,CCRF-CEM,CCRF-CEM; CCRF/CEM; CCRFCEM; CCRF.CEM; CCRF CEM; CCRF; CEM; CEM-CCRF; CEM-CCRF (CAMR); CCRF/CEM/0; CEM/0; CEM-0; CCRF-CEM/S; GM03671,CVCL_0207,SIDM00121,905952,ACH-001738,CCRFCEM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,haematopoietic_and_lymphoid,C7953
