Gene,uniprot_protein_acc_id,drugbank_id,drug_name,drug_action_type,drug_status,drug_status2
F2,P00734,DB00001,Lepirudin,Inhibitor,Biotech,Approved
EGFR,P00533,DB00002,Cetuximab,Antagonist,Biotech,Approved
ERBB,P00533,DB00002,Cetuximab,Antagonist,Biotech,Approved
ERBB1,P00533,DB00002,Cetuximab,Antagonist,Biotech,Approved
HER1,P00533,DB00002,Cetuximab,Antagonist,Biotech,Approved
FCGR3B,O75015,DB00002,Cetuximab,,Biotech,Approved
CD16B,O75015,DB00002,Cetuximab,,Biotech,Approved
FCG3,O75015,DB00002,Cetuximab,,Biotech,Approved
FCGR3,O75015,DB00002,Cetuximab,,Biotech,Approved
IGFR3,O75015,DB00002,Cetuximab,,Biotech,Approved
C1R,P00736,DB00002,Cetuximab,,Biotech,Approved
C1QA,P02745,DB00002,Cetuximab,,Biotech,Approved
C1QB,P02746,DB00002,Cetuximab,,Biotech,Approved
C1QC,P02747,DB00002,Cetuximab,,Biotech,Approved
C1QG,P02747,DB00002,Cetuximab,,Biotech,Approved
FCGR3A,P08637,DB00002,Cetuximab,,Biotech,Approved
CD16A,P08637,DB00002,Cetuximab,,Biotech,Approved
FCG3,P08637,DB00002,Cetuximab,,Biotech,Approved
FCGR3,P08637,DB00002,Cetuximab,,Biotech,Approved
IGFR3,P08637,DB00002,Cetuximab,,Biotech,Approved
C1S,P09871,DB00002,Cetuximab,,Biotech,Approved
FCGR1A,P12314,DB00002,Cetuximab,,Biotech,Approved
FCG1,P12314,DB00002,Cetuximab,,Biotech,Approved
FCGR1,P12314,DB00002,Cetuximab,,Biotech,Approved
IGFR1,P12314,DB00002,Cetuximab,,Biotech,Approved
FCGR2A,P12318,DB00002,Cetuximab,,Biotech,Approved
CD32,P12318,DB00002,Cetuximab,,Biotech,Approved
FCG2,P12318,DB00002,Cetuximab,,Biotech,Approved
FCGR2A1,P12318,DB00002,Cetuximab,,Biotech,Approved
IGFR2,P12318,DB00002,Cetuximab,,Biotech,Approved
FCGR2B,P31994,DB00002,Cetuximab,,Biotech,Approved
