dname,chembl_id,inchikey,smiles,cid,molecular_formula,clinical_phase,cid_m,cid_s,stitch_name,drugbank_id,kegg_id,target_genes,PUBCHCID,TTD_TARGETS
5-FU,CHEMBL185,GHASVSINZRGABV-UHFFFAOYSA-N,C1=C(C(=O)NC(=O)N1)F,3385,C4H3FN2O2,4,CIDm00003385,CIDs00003385,5-fluorouracil,DB00544,D00584,,3385,"Candi TMP1,DPYD,TERT,TYMS"
AZD1775,CHEMBL1976040,BKWJAKQVGHWELA-UHFFFAOYSA-N,CC(C)(C1=NC(=CC=C1)N2C3=NC(=NC=C3C(=O)N2CC=C)NC4=CC=C(C=C4)N5CCN(CC5)C)O,24856436,C27H32N8O2,2,CIDm24856436,CIDs24856436,MK-1775,DB11740,,,24856436,WEE1
BEZ-235,CHEMBL1879463,JOGKUKXHTYWRGZ-UHFFFAOYSA-N,CC(C)(C#N)C1=CC=C(C=C1)N2C3=C4C=C(C=CC4=NC=C3N(C2=O)C)C5=CC6=CC=CC=C6N=C5,11977753,C30H23N5O,2,CIDm11977753,CIDs11977753,NVP-BEZ235,DB11651,D10552,,11977753,"MTOR,PIK3CG"
BORTEZOMIB,CHEMBL325041,GXJABQQUPOEUTA-RDJZCZTQSA-N,B(C(CC(C)C)NC(=O)C(CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,387447,C19H25BN4O4,4,CIDm00093860,CIDs00387447,bortezomib,DB00188,D03150,,387447,PRSS1
DASATINIB,CHEMBL1421,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,CC1=C(C(=CC=C1)Cl)NC(=O)C2=CN=C(S2)NC3=NC(=NC(=C3)N4CCN(CC4)CCO)C,3062316,C22H26ClN7O2S,4,CIDm03062316,CIDs03062316,dasatinib,DB01254,D03658,,3062316,"LCK,SRC,BCR-ABL1,FYN"
DEXAMETHASONE,CHEMBL384467,UREBDLICKHMUKA-CXSFZGCWSA-N,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C,5743,C22H29FO5,4,CIDm00003003,CIDs00005743,dexamethasone,DB01234,D00292,,5743,NR3C1
DINACICLIB,CHEMBL2103840,PIMQWRZWLQKKBJ-SFHVURJKSA-N,CCC1=C2N=C(C=C(N2N=C1)NCC3=C[N+](=CC=C3)[O-])N4CCCCC4CCO,46926350,C21H28N6O2,3,CIDm16048554,CIDs46926350,dinaciclib,DB12021,D09604,,46926350,"CDK2,CDK1,CDK9"
DOXORUBICIN,CHEMBL53463,AOJJSUZBOXZQNB-TZSSRYMLSA-N,CC1C(C(CC(O1)OC2CC(CC3=C(C4=C(C(=C23)O)C(=O)C5=C(C4=O)C=CC=C5OC)O)(C(=O)CO)O)N)O,31703,C27H29NO11,4,CIDm00001690,CIDs00031703,doxorubicin,DB00997,D03899,,31703,"TOP2A; TOP2B,TERT"
ERLOTINIB,CHEMBL553,AAKJLRGGTJKAMG-UHFFFAOYSA-N,COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC,176870,C22H23N3O4,4,CIDm00176870,CIDs00176870,erlotinib,DB00530,D07907,,176870,EGFR
ETOPOSIDE,CHEMBL44657,VJJPUSNTGOMMGY-MRVIYFEKSA-N,CC1OCC2C(O1)C(C(C(O2)OC3C4COC(=O)C4C(C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)O)OC)O)O,36462,C29H32O13,4,CIDm00003310,CIDs00036462,etoposide,DB00773,D00125,,36462,TOP2A; TOP2B
GEMCITABINE,CHEMBL888,SDUQYLNIPVEERB-QPPQHZFASA-N,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)(F)F,60750,C9H11F2N3O4,4,CIDm00003461,CIDs00060749,gemcitabine,DB00441,D02368,,60750,RRM2
LAPATINIB,CHEMBL554,BCFGMOOMADDAQU-UHFFFAOYSA-N,CS(=O)(=O)CCNCC1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=CC(=CC=C5)F)Cl,208908,C29H26ClFN4O4S,4,CIDm00208908,CIDs00208908,lapatinib,DB01259,D04024,,208908,"EGFR,ERBB2,EEF2K"
MK-2206,CHEMBL1079175,ULDXWLCXEDXJGE-UHFFFAOYSA-N,C1CC(C1)(C2=CC=C(C=C2)C3=C(C=C4C(=N3)C=CN5C4=NNC5=O)C6=CC=CC=C6)N,24964624,C25H21N5O,2,CIDm24964624,CIDs24964624,MK-2206 dihydrochloride,,,,24964624,"AKT3,UBE2T"
MK-5108,CHEMBL3182444,LCVIRAZGMYMNNT-UHFFFAOYSA-N,C1CC(CCC1OC2=C(C(=CC=C2)Cl)F)(CC3=NC(=CC=C3)NC4=NC=CS4)C(=O)O,24748204,C22H21ClFN3O3S,1,CIDm24748204,CIDs24748204,MK-5108,DB12556,,,24748204,"AURKB,AURKA"
MK-8669,CHEMBL2103839,BUROJSBIWGDYCN-GAUTUEMISA-N,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)OP(=O)(C)C)C)C)O)OC)C)C)C)OC,11520894,C53H84NO14P,3,CIDm10191580,CIDs11520894,ridaforolimus,,C15183,,11520894,MTOR
METFORMIN,CHEMBL1431,XZWYZXLIPXDOLR-UHFFFAOYSA-N,CN(C)C(=N)N=C(N)N,4091,C4H11N5,4,CIDm00004091,CIDs00004091,metformin,DB00331,D04966,,4091,"ACACB,SLC47A1"
