,dname,chembl_id,inchikey,smiles,cid,molecular_formula,clinical_phase,cid_m,cid_s,stitch_name,drugbank_id,kegg_id,target_genes
343,VALPROIC ACID,CHEMBL109,NIJJYAXOARWZEE-UHFFFAOYSA-N,CCCC(CCC)C(=O)O,3121,C8H16O2,4,CIDm00003121,CIDs00003121,valproate,DB00313,D00399,"ABAT,HDAC1,SCN1A,SCN3A,ACADSB,ALDH5A1,HDAC2,HDAC9,OGDH,SCN10A,SCN11A,SCN1B,SCN2A,SCN2B,SCN3B,SCN4A,SCN4B,SCN5A,SCN7A,SCN8A,SCN9A"
321,PROBUCOL,CHEMBL608,FYPMFJGVHOHGLL-UHFFFAOYSA-N,CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)SC(C)(C)SC2=CC(=C(C(=C2)C(C)(C)C)O)C(C)(C)C,4912,C31H48O2S2,4,CIDm00004912,CIDs00004912,probucol,DB01599,D00476,"ABCA1,ABCB11,CES1"
476,CARBAMAZEPINE,CHEMBL108,FFGPTBGBLSHEPO-UHFFFAOYSA-N,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,2554,C15H12N2O,4,CIDm00002554,CIDs00002554,carbamazepine,DB00564,D00252,"ABCB1,CYP1A2,CYP3A4,SCN1A,SCN3A,SCN5A"
440,PHENYTOIN,CHEMBL16,CXOFVDLJLONNDW-UHFFFAOYSA-N,C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3,1775,C15H12N2O2,4,CIDm00001775,CIDs00001775,phenytoin,DB00252,D00512,"ABCB1,CYP2B6,CYP2C19,CYP3A4,SCN1A,SCN2A,SCN5A"
3199,Tesmilifene,CHEMBL26424,NFIXBCVWIPOYCD-UHFFFAOYSA-N,CCN(CC)CCOC1=CC=C(C=C1)CC2=CC=CC=C2,108092,C19H25NO,2,CIDm00108092,CIDs00108092,tesmilifene,DB04905,,"ABCB1,HRH1"
972,NOBILETIN,CHEMBL76447,MRIAQLRQZPPODS-UHFFFAOYSA-N,COC1=C(C=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC)OC,72344,C21H22O8,0,CIDm00072344,CIDs00072344,nobiletin,,C10112,"ABCB1,MAP2K1,TYR"
325,(+/-)-SULFINPYRAZONE,CHEMBL832,MBGGBVCUIVRRBF-UHFFFAOYSA-N,C1=CC=C(C=C1)N2C(=O)C(C(=O)N2C3=CC=CC=C3)CCS(=O)C4=CC=CC=C4,5342,C23H20N2O3S,4,CIDm00005342,CIDs00005342,sulfinpyrazone,DB01138,D00449,"ABCC1,ABCC2,FPR1,SLC22A12"
463,BENZBROMARONE,CHEMBL388590,WHQCHUCQKNIQEC-UHFFFAOYSA-N,CCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)Br)O)Br,2333,C17H12Br2O3,4,CIDm00002333,CIDs00002333,benzbromarone,DB12319,D01056,"ABCC1,SLC22A12"
632,TOLBUTAMIDE,CHEMBL782,JLRGJRBPOGGCBT-UHFFFAOYSA-N,CCCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)C,5505,C12H18N2O3S,4,CIDm00005505,CIDs00005505,tolbutamide,DB01124,D00380,"ABCC8,CYP2B6,CYP2C19,CYP2C8,KCNJ1,KCNJ11,KCNJ8"
914,REPAGLINIDE,CHEMBL1272,FAEKWTJYAYMJKF-QHCPKHFHSA-N,CCOC1=C(C=CC(=C1)CC(=O)NC(CC(C)C)C2=CC=CC=C2N3CCCCC3)C(=O)O,65981,C27H36N2O4,4,CIDm00004547,CIDs00065981,repaglinide,DB00912,D00594,"ABCC8,CYP2C8,CYP3A5,INS,KCNJ11,PPARG"
996,GLIQUIDONE,CHEMBL383634,LLJFMFZYVVLQKT-UHFFFAOYSA-N,CC1(C2=C(C=C(C=C2)OC)C(=O)N(C1=O)CCC3=CC=C(C=C3)S(=O)(=O)NC(=O)NC4CCCCC4)C,91610,C27H33N3O6S,4,CIDm00091610,CIDs00091610,gliquidone,DB01251,D02430,"ABCC8,KCNJ10,KCNJ11,KCNJ8"
522,GLIPIZIDE,CHEMBL1073,ZJJXGWJIGJFDTL-UHFFFAOYSA-N,CC1=NC=C(N=C1)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3,3478,C21H27N5O4S,4,CIDm00003478,CIDs00003478,glipizide,DB01067,D00335,"ABCC8,KCNJ10,KCNJ11,PPARG"
